Kind,Name,PercentLackOfCohesion
Public Class,"DAO.CategoriaDAO",0
Public Class,"DAO.CompraDAO",81
Public Class,"DAO.FornecedorDAO",0
Public Class,"DAO.ProdutoDAO",30
Public Class,"DAO.UsuarioDAO",0
Public Class,"DAO.VendaDAO",91
Public Class,"connection.ConnectionFactory",75
Public Class,"controls.Categorias",94
Public Class,"controls.CompraDAO",0
Public Class,"controls.Compras",86
Public Class,"controls.Estoque",88
Public Class,"controls.Fornecedores",94
Public Class,"controls.GerenciarCategoria",89
Public Class,"controls.GerenciarFornecedor",80
Public Class,"controls.GerenciarProduto",72
Public Class,"controls.GerenciarUsuario",63
Public Class,"controls.Historico",92
Public Class,"controls.Login",60
Public Class,"controls.Main",100
Public Class,"controls.MenuPrincipal",98
Public Class,"controls.NovaCompra",86
Public Class,"controls.Pesquisa",92
Public Class,"controls.ProdutoFornecedor",90
Public Class,"controls.Usuarios",87
Public Class,"controls.Vendas",85
Public Class,"controls.Verificacao",95
Public Class,"controls.VisualizarCompra",95
Public Class,"controls.VisualizarVenda",89
Public Class,"controls.get_sets",0
Public Class,"controls.getsAtribb",90
Public Class,"controls.iniCombo",100
Public Class,"controls.methodLong",0
Public Abstract Class,"controls.newClass",95
Public Class,"controls.show",97
Public Class,"models.Categoria",70
Public Class,"models.Compra",84
Public Class,"models.Fornecedor",88
Public Class,"models.Produto",83
Public Class,"models.Usuario",91
Public Class,"models.Venda",70
