Kind,Name,MaxInheritanceTree,CountClassDerived,CountClassBase,CountClassCoupled
Public Class,"DAO.CategoriaDAO",1,0,1,2
Public Class,"DAO.CompraDAO",1,0,1,7
Public Class,"DAO.FornecedorDAO",1,0,1,2
Public Class,"DAO.ProdutoDAO",1,0,1,5
Public Class,"DAO.UsuarioDAO",1,0,1,2
Public Class,"DAO.VendaDAO",1,0,1,7
Public Class,"connection.ConnectionFactory",1,0,1,0
Public Class,"controls.Categorias",1,0,2,5
Public Class,"controls.CompraDAO",1,0,1,1
Public Class,"controls.Compras",1,0,2,7
Public Class,"controls.Estoque",1,0,2,10
Public Class,"controls.Fornecedores",1,0,2,6
Public Class,"controls.GerenciarCategoria",1,0,2,4
Public Class,"controls.GerenciarFornecedor",1,0,2,4
Public Class,"controls.GerenciarProduto",1,0,2,8
Public Class,"controls.GerenciarUsuario",1,0,2,4
Public Class,"controls.Historico",1,0,2,8
Public Class,"controls.Login",1,0,2,4
Public Class,"controls.Main",2,0,1,1
Public Class,"controls.MenuPrincipal",1,0,2,8
Public Class,"controls.NovaCompra",1,0,2,8
Public Class,"controls.Pesquisa",1,0,2,2
Public Class,"controls.ProdutoFornecedor",1,0,2,2
Public Class,"controls.Usuarios",1,0,2,6
Public Class,"controls.Vendas",1,0,2,6
Public Class,"controls.Verificacao",1,0,2,2
Public Class,"controls.VisualizarCompra",1,0,2,6
Public Class,"controls.VisualizarVenda",1,0,2,6
Public Class,"controls.get_sets",1,0,1,0
Public Class,"controls.getsAtribb",1,0,1,0
Public Class,"controls.iniCombo",1,0,1,2
Public Class,"controls.methodLong",1,0,1,4
Public Abstract Class,"controls.newClass",1,0,2,4
Public Class,"controls.show",1,0,2,3
Public Class,"models.Categoria",1,0,1,1
Public Class,"models.Compra",1,0,1,2
Public Class,"models.Fornecedor",1,0,1,0
Public Class,"models.Produto",1,0,1,2
Public Class,"models.Usuario",1,0,1,1
Public Class,"models.Venda",1,0,1,2
